Species
Demeijerea rufipes
Demicryptochironomus gr.Vulneratus
Demicryptochironomus vulneratus
Depressa striatipennis
Deromyia winthemi
Derotanypus sibiricus
Dettopsomyia nigrovittata
Diamesa aberrata
Diamesa bertrami
Diamesa carpatica
Diamesa ex.Gr.Prolongata
Diamesa hamaticornis
Diamesa heterodentata
Diamesa leona
Diamesa nivalis
Diamesa stilata
Diamesa thienemanni
Diamesa tsutsuii
Dichetophora boyesi
Dichrochirosa dissimilis
Dichrochirosa sp
Dichrochirosa sp.Neardissimilis
Dicranomyia trinotata
Dicrotendipes lobiger
Dictenidia bimaculala
Dictya atlantica
Dictya brimleyi
Dictya brimleyiE
Dictya floridensis
Dictya sabroski
Dictya sabroskyi
Dictya stricta
Dictya texensis
Dictya txensis
Dictya umbrarum
Dictya umbrarumseriesII
Dictyodes dictyodes
Didea alneti
Didea fasciata
Didea fuscipes
Didea intermedia
Didea laxa
Dideoides latus
Dioxina chilensis
Diplodacus sienatiles
Discritomyia fasciata
Discritomyia fulgens
Discritomyia newspecies
Discritomyia terryi
Dissoptera sp.
Dixa dilatata
Dixa recens
Dixella attica
Dixella autumnalis
Doros aequalis
Doros conopseus
Drino behemica
Drino bohemica
"Drosophila ""melanissima"""
Drosophila acanthoptera
Drosophila acutilabella
Drosophila adiastola
Drosophila adunca
Drosophila afer
Drosophila affinidisjuncta
Drosophila affinis
Drosophila aglaia
Drosophila agumbensis
Drosophila airzonensis
Drosophila albirostris
Drosophila albomicans
Drosophila alboralis
Drosophila aldrichi
Drosophila alexandrei
Drosophila algonquin
Drosophila alpina
Drosophila alsophila
Drosophila altiplanica
Drosophila ambigua
Drosophila americana
Drosophila amplilobus
Drosophila ananassae
Drosophila anceps
Drosophila andamensis
Drosophila andina
Drosophila angularis
Drosophila angustibucca
Drosophila annulimana
Drosophila annulipes
Drosophila anomalipes
Drosophila anomelani
Drosophila anoplastoma
Drosophila antilla
Drosophila aracea
Drosophila araicas
Drosophila arapuan
Drosophila ararama
Drosophila arassari
Drosophila arauana
Drosophila araucana
Drosophila arauna
Drosophila arawakana
Drosophila arawakana kittensis
Drosophila arcuata
Drosophila argentostriata
Drosophila arizonensis
Drosophila asketostoma
Drosophila asper
Drosophila assita
Drosophila atalaia
Drosophila athabasca
Drosophila atrata
Drosophila atrimentum
Drosophila atripex
Drosophila atroscutellata
Drosophila attigua
Drosophila auraria
Drosophila aureata
Drosophila austrosaltans
Drosophila azteca
Drosophila baelladunni
Drosophila baimaii
Drosophila bakoue
Drosophila balioptera
Drosophila bandeirantorum
Drosophila barbarae
Drosophila basimacula
Drosophila basisetae
Drosophila bedicheki
Drosophila belladunni
Drosophila betari
Drosophila biarmipes
Drosophila biauraria
Drosophila bicornuta
Drosophila bifasciata
Drosophila bifasicata
Drosophila bifurca
Drosophila bifurca I
Drosophila bifurca II
Drosophila biopaca
Drosophila bipectinata
Drosophila bipunctata
Drosophila birchii
Drosophila biseriata
Drosophila biseriata-like
Drosophila bizonata
Drosophila blumelae
Drosophila bocainensis
Drosophila bocainoides
Drosophila bocki
Drosophila bocqueti
Drosophila borborema
Drosophila borealis
Drosophila bostrycha
Drosophila brachynephros
Drosophila brevicarinata
Drosophila briegeri
Drosophila bristle foot
Drosophila brncici
Drosophila bromeliae
Drosophila bromelioides
Drosophila brooksae
Drosophila brunneipalpa
Drosophila brunneipennis
Drosophila bryani
Drosophila busckii
Drosophila buzzatii
Drosophila californica
Drosophila calloptera
Drosophila camargoi
Drosophila camaronensis
Drosophila canalinea
Drosophila canalinioides
Drosophila canapalpa
Drosophila cancellata
Drosophila caponei
Drosophila capricorni
Drosophila carbonaria
Drosophila carcinophila
Drosophila cardini
Drosophila cardinoides
Drosophila caribaiana
Drosophila carsoni
Drosophila castanea
Drosophila centralis
Drosophila chaetopeza
Drosophila chamundiensis
Drosophila cheda
Drosophila ciliaticrus
Drosophila cilifemorata
Drosophila cilifera
Drosophila circumdata
Drosophila clavisetae
Drosophila claytonae
Drosophila cognata
Drosophila colorata
Drosophila comatifemora
Drosophila confusa
Drosophila conjectura
Drosophila conspicua
Drosophila converga
Drosophila coracina
Drosophila cordata
Drosophila coroica
Drosophila coroica paraguttata
Drosophila crassifemur
Drosophila crocina
Drosophila crucigera
Drosophila cuauhtemoci
Drosophila curviceps
Drosophila cyrtoloma
Drosophila davidi
Drosophila deltaneuron
Drosophila denticulata
Drosophila desertorum
Drosophila diamphidiopoda
Drosophila differens
Drosophila digressa
Drosophila diminuens
Drosophila discreta
Drosophila disjuncta
Drosophila dissita
Drosophila disticha
Drosophila distinguenda
Drosophila divaricata
Drosophila dominicana
Drosophila dreyfusi
Drosophila duncani
Drosophila dunni
Drosophila dunni thomasensis
Drosophila earlei
Drosophila eilifera
Drosophila elegans
Drosophila elliptica
Drosophila emarginata
Drosophila endobranchia
Drosophila engyochracea
Drosophila enigma
Drosophila entrichocnema
Drosophila eohydei
Drosophila equinioxialis
Drosophila ercepeae
Drosophila erecta
Drosophila eremophila
Drosophila eskoi
Drosophila eugracilis
Drosophila euronotus
Drosophila eurypeza
Drosophila ezoana
Drosophila facialba
Drosophila fairchildi
Drosophila falleni
Drosophila fasciculisetae
Drosophila fasciola
Drosophila fascioloides
Drosophila ficusphila
Drosophila flavibasis
Drosophila flavomontana
Drosophila flavopilosa
Drosophila flavopinicola
Drosophila flavorepleta
Drosophila flexipes
Drosophila florae
Drosophila formella
Drosophila fragilis
Drosophila freycinetiae
Drosophila fuliginea
Drosophila fulvalineata
Drosophila fulvimacula
Drosophila fulvimacula flavorepleta
Drosophila fulvimaculoides
Drosophila fumida
Drosophila fumipennis
Drosophila fumosa
Drosophila funebris
Drosophila fuscoamoeba
Drosophila gasici
Drosophila gaucha
Drosophila gibberosa
Drosophila giriensis
Drosophila glabriapex
Drosophila goureaui
Drosophila gradata
Drosophila greeni
Drosophila greerae
Drosophila grimshawi
Drosophila grisea
Drosophila griseolineata
Drosophila guanche
Drosophila guaraja
Drosophila guaramunu
Drosophila guarani
Drosophila guaru
Drosophila guttifera
Drosophila gymnobasis
Drosophila gymnophallus
Drosophila hamatofila
Drosophila hamifera
Drosophila hanaulae
Drosophila hawaiiensis
Drosophila heedi
Drosophila helvetica
Drosophila hemipeza
Drosophila heterobristalis
Drosophila heteroneura
Drosophila hexachaetae
Drosophila hexastigma
Drosophila hexastriata
Drosophila hirtipalpus
Drosophila histrio
Drosophila howensis
Drosophila hydei
Drosophila hydeoides
Drosophila hypocausta
Drosophila hystricosa
Drosophila imaii
Drosophila imeretensis
Drosophila immigrans
Drosophila immigrans I
Drosophila immigrans II
Drosophila immigrans-like n. sp
Drosophila imparisetae
Drosophila inca
Drosophila inedita
Drosophila inflatus
Drosophila infuscata
Drosophila ingens
Drosophila innubila
Drosophila insularis
Drosophila ischnotrix
Drosophila jambulina
Drosophila johnstonae
Drosophila kambysellisi
Drosophila kanapiae
Drosophila kanekoi
Drosophila kauluai
Drosophila kepulauana
Drosophila khaoyana
Drosophila kikkawai
Drosophila kohkoa
Drosophila komaii
Drosophila lacertosa
Drosophila lacicola
Drosophila lacteicornis
Drosophila lamottei
Drosophila lasiopoda
Drosophila latifasciaeformis
Drosophila latifshahi
Drosophila lativittata
Drosophila lebanonensis
Drosophila lebanonensis casteeli
Drosophila leonis
Drosophila leontia
Drosophila limbinervis
Drosophila limensis
Drosophila limitata
Drosophila limpiensis
Drosophila linearepleta
Drosophila lineosetae
Drosophila lini
Drosophila liophallus
Drosophila littoralis
Drosophila longala
Drosophila longicornis
Drosophila longiseta
Drosophila lowei
Drosophila lucipennis
Drosophila lummei
Drosophila lusaltans
Drosophila lutea
Drosophila lutescens
Drosophila macroptera
Drosophila macrospina
Drosophila macrospina limpiensis
Drosophila macrospina macrospina
Drosophila macrospina ohioensis
Drosophila macrothrix
Drosophila magnaquinaria
Drosophila mainlandi
Drosophila malerkotliana malerkotliana
Drosophila malerkotliana pallens
Drosophila mangabeirai
Drosophila martensis
Drosophila mathisis
Drosophila mauritiana
Drosophila mayri
Drosophila mcclintockae
Drosophila mediodiffusa
Drosophila medionotata
Drosophila mediopictoides
Drosophila mediopunctata
Drosophila mediosignata
Drosophila mediostriata
Drosophila meitanensis
Drosophila melanica
Drosophila melanica melanica
Drosophila melanica paramelanica
Drosophila melanocephala
Drosophila melanogaster
Drosophila melanopalpa
Drosophila melanosoma
Drosophila melanospila
Drosophila melanura I
Drosophila melanura II
Drosophila mercatorum
Drosophila mercatorum pararepleta
Drosophila meridiana
Drosophila meridiana meridiana
Drosophila meridiana rioensis
Drosophila meridionalis
Drosophila mesophragmatica
Drosophila mettleri
Drosophila metzii
Drosophila micromelanica
Drosophila micromelanica II
Drosophila micromelanica IV
Drosophila micromyia
Drosophila mimetica
Drosophila mimica
Drosophila mimica-like
Drosophila miranda
Drosophila mitchelli
Drosophila modified mouthparts
Drosophila modified proboscis
Drosophila mojavensis
Drosophila mojavensis baja
Drosophila moju
Drosophila mojuoides
Drosophila montana
Drosophila montgomeryi
Drosophila montium
Drosophila montium I
Drosophila montium II
Drosophila montium III
Drosophila moriwakii
Drosophila mulleri
Drosophila munda
Drosophila murphyi
Drosophila musaphila
Drosophila mutandis
Drosophila mycetophila
Drosophila mysorensis
Drosophila n. sp. Clavisetae-lik
Drosophila n. sp. Immigrans-like
Drosophila n. sp. Near hirtitarsus
Drosophila n. sp. Near larifuga complex
Drosophila n.sp. Near caccabata
Drosophila n.sp. Near semifuscata
Drosophila n.sp. Semifuscata-like
Drosophila nagarholensis
Drosophila nannoptera
Drosophila narragansett
Drosophila nasalis
Drosophila nasuta
Drosophila nasuta albomicans
Drosophila nasuta nasuta
Drosophila nasutoides
Drosophila nebulosa
Drosophila neocardini
Drosophila neocordata
Drosophila neoelliptica
Drosophila neogrimshawi
Drosophila neoguaramunu
Drosophila neohydei
Drosophila neohypocausta
Drosophila neomorpha
Drosophila neonasuta
Drosophila neoperkinsi
Drosophila neopicta
Drosophila neorepleta
Drosophila neosaltans
Drosophila nepalensis
Drosophila nesoetes
Drosophila nigra
Drosophila nigribasis
Drosophila nigricruria
Drosophila nigrifacies
Drosophila nigrilineata
Drosophila nigrodunni
Drosophila nigrohydei
Drosophila nigromaculata
Drosophila nigromelanica
Drosophila nigromelanica II
Drosophila nigrosaltans
Drosophila nigrosparsa
Drosophila nigrospiracula
Drosophila nikananu
Drosophila nitidithorax
Drosophila niveifrons
Drosophila nixifrons
Drosophila novamaculosa
Drosophila novamexicana
Drosophila novemeristata
Drosophila novopaca
Drosophila oahuensis
Drosophila obatai
Drosophila obscura
Drosophila obscuripes
Drosophila obscuroides
Drosophila occidentalis
Drosophila ocellata
Drosophila ochracea
Drosophila ochrobasis
Drosophila odontophallus
Drosophila olaae
Drosophila onca
Drosophila orbospiracula
Drosophila orena
Drosophila orkui
Drosophila ornata
Drosophila ornatipennis
Drosophila orosa
Drosophila orphnopeza
Drosophila orthofascia
Drosophila pachea
Drosophila pachuca
Drosophila paenehamifera
Drosophila pagliolii
Drosophila pallidifrons
Drosophila pallidipennis
Drosophila pallidipennis centralis
Drosophila pallidosa
Drosophila palustris
Drosophila parabipectinata
Drosophila parabocainensis
Drosophila paracanalinea
Drosophila parachrogaster
Drosophila paraguttata
Drosophila paralutea
Drosophila paramediostriata
Drosophila paramelanica
Drosophila paramelanica I
Drosophila paramelanica II
Drosophila paranaensis
Drosophila pararepleta
Drosophila pararubida
Drosophila parasaltans
Drosophila paratriangulata
Drosophila parthenogenetica
Drosophila parva
Drosophila parvula
Drosophila pattersoni
Drosophila paucicilia
