Order,Family,Genus,Species,Name,C-value,Mbp,Method,Metamorphosis
Diptera,Drosophilidae,Drosophila,persimilis,Drosophila persimilis,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,pseudoobscura,Drosophila pseudoobscura,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,silvestris,Drosophila silvestris,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,yakuba,Drosophila yakuba,0.19,185.82,FCM,Complete
Diptera,Sepsidae,Microsepsis,armillata,Microsepsis armillata,0.19,185.82,FCM,Complete
Diptera,Sepsidae,Microsepsis,furcata,Microsepsis furcata,0.19,185.82,FCM,Complete
Diptera,Sepsidae,Microsepsis,mitis,Microsepsis mitis,0.19,185.82,FCM,Complete
Diptera,Sepsidae,Themira,superba,Themira superba,0.19,185.82,FCM,Complete
Diptera,Simuliidae,Prosimulium,multidentatum,Prosimulium multidentatum,0.19,185.82,BCA,Complete
Hymenoptera,Apidae,Apis,cerana,Apis cerana,0.19,185.82,BCA,Complete
Hymenoptera,Apidae,Apis,mellifera,Apis mellifera,0.19,185.82,BCA,Complete
Hymenoptera,Apidae,Apis,mellifera,Apis mellifera,0.19,185.82,NS,Complete
Hymenoptera,Sphecidae,Larra,bicolor,Larra bicolor,0.19,185.82,FCM,Complete
Hymenoptera,Sphecidae,Miscophus,slossonae,Miscophus slossonae,0.19,185.82,FIA,Complete
Hymenoptera,Trichogrammatidae,Trichogramma,pretiosum,Trichogramma pretiosum,0.19,185.82,FCM,Complete
Diptera,Drosophilidae,Drosophila,hypocausta,Drosophila hypocausta,0.19,185.9,,Complete
Diptera,Drosophilidae,Drosophila,guttifera,Drosophila guttifera,0.19,186.3,,Complete
Diptera,Drosophilidae,Drosophila,arawakana,Drosophila arawakana,0.19,186.4,,Complete
Coleoptera,Cerambycidae,Cyrtopherus,verrucosus,Cyrtopherus verrucosus,0.19,187.1,,Complete
Diptera,Drosophilidae,Drosophila,repleta,Drosophila repleta,0.19,187.5,,Complete
Diptera,Drosophilidae,Zaprionus,lachaisei,Zaprionus lachaisei,0.19,187.7,,Complete
Diptera,Drosophilidae,Drosophila,mediopictoides,Drosophila mediopictoides,0.19,188,,Complete
Diptera,Drosophilidae,Drosophila,hypocausta,Drosophila hypocausta,0.19,190.6,,Complete
Diptera,Drosophilidae,Drosophila,sechellia,Drosophila sechellia,0.2,190.9,,Complete
Diptera,Drosophilidae,Drosophila,paramelanica,Drosophila paramelanica,0.2,191.6,,Complete
Diptera,Drosophilidae,Drosophila,pseudotalamancana,Drosophila pseudotalamancana,0.2,191.6,,Complete
Diptera,Drosophilidae,Drosophila,paramelanica,Drosophila paramelanica,0.2,192.1,,Complete
Diptera,Drosophilidae,Drosophila,lacicola,Drosophila lacicola,0.2,192.4,,Complete
Diptera,Drosophilidae,Drosophila,ficusphila,Drosophila ficusphila,0.2,192.8,,Complete
Diptera,Drosophilidae,Drosophila,ezoana,Drosophila ezoana,0.2,192.9,,Complete
Diptera,Drosophilidae,Drosophila,limensis,Drosophila limensis,0.2,192.9,,Complete
Diptera,Drosophilidae,Scaptomyza,anomala,Scaptomyza anomala,0.2,193.1,,Complete
Diptera,Drosophilidae,Zaprionus,lachaisei,Zaprionus lachaisei,0.2,194.3,,Complete
Diptera,Drosophilidae,Drosophila,pseudotalamancana,Drosophila pseudotalamancana,0.2,194.9,,Complete
Diptera,Drosophilidae,Zaprionus,kolodkinae,Zaprionus kolodkinae,0.2,195.5,,Complete
Coleoptera,Chrysomelidae,Prasocuris,junci,Prasocuris junci,0.2,195.6,FD,Complete
Coleoptera,Tenebrionidae,Tribolium,castaneum,Tribolium castaneum,0.2,195.6,FD,Complete
Diptera,Chironomidae,Chironomus,riparius,Chironomus riparius,0.2,195.6,FCM,Complete
Diptera,Chironomidae,Chironomus,riparius,Chironomus riparius,0.2,195.6,FCM,Complete
Diptera,Chironomidae,Paraborniella,tonnoiri,Paraborniella tonnoiri,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,ananassae,Drosophila ananassae,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,atripex,Drosophila atripex,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,azteca,Drosophila azteca,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,barbarae,Drosophila barbarae,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,biarmipes,Drosophila biarmipes,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,bifasciata,Drosophila bifasciata,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,bipectinata,Drosophila bipectinata,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,birchii,Drosophila birchii,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,busckii,Drosophila busckii,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,elegans,Drosophila elegans,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,greeni,Drosophila greeni,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,hydei,Drosophila hydei,0.2,195.6,FD,Complete
Diptera,Drosophilidae,Drosophila,hydei,Drosophila hydei,0.2,195.6,BCA,Complete
Diptera,Drosophilidae,Drosophila,malerkotliana,Drosophila malerkotliana,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,malerkotliana,Drosophila malerkotliana,0.2,195.6,FCM,Complete
